Subject,Start Date,Start Time,End Date,End Time,Location,Description,All Day Event,Private
Frankfort Lab Meeting,2026-01-12,10:00:00,2026-01-12,12:00:00,4th floor conference room,"Lab Meeting: lab planning
Journal Club: 
Food (no nuts): 

Notes: Lab Planning ",False,False
Frankfort Lab Meeting,2026-01-19,10:00:00,2026-01-19,12:00:00,4th floor conference room,"Lab Meeting: no lab meeting
Journal Club: 
Food (no nuts): 

Notes: MLK Day Volunteering ",False,False
Frankfort Lab Meeting,2026-01-26,10:00:00,2026-01-26,12:00:00,4th floor conference room,"Lab Meeting: Justin Ma
Journal Club: 
Food (no nuts): 

Notes: lab farewell party for Justin",False,False
Frankfort Lab Meeting,2026-02-02,10:00:00,2026-02-02,12:00:00,4th floor conference room,"Lab Meeting: Guofu Shen
Journal Club: Daniel Brock (pilot)
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-02-09,10:00:00,2026-02-09,12:00:00,4th floor conference room,"Lab Meeting: no lab meeting
Journal Club: 
Food (no nuts): 

Notes: no lab meeting",False,False
Frankfort Lab Meeting,2026-02-16,10:00:00,2026-02-16,12:00:00,4th floor conference room,"Lab Meeting: Solomon Gibson
Journal Club: Chantel George
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-02-23,10:00:00,2026-02-23,12:00:00,4th floor conference room,"Lab Meeting: Chantel George
Journal Club: Salim Khondker
Food (no nuts): 

Notes: Lab vision / Frankfort lab retreat",False,False
Frankfort Lab Meeting,2026-03-02,10:00:00,2026-03-02,12:00:00,4th floor conference room,"Lab Meeting: Salim Khondker
Journal Club: Soumi Mitra
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-03-09,10:00:00,2026-03-09,12:00:00,4th floor conference room,"Lab Meeting: Soumi Mitra
Journal Club: Guofu Shen
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-03-16,10:00:00,2026-03-16,12:00:00,4th floor conference room,"Lab Meeting: Daniel Brock
Journal Club: 
Food (no nuts): 

Notes: spring break for Rice",False,False
Frankfort Lab Meeting,2026-03-23,10:00:00,2026-03-23,12:00:00,4th floor conference room,"Lab Meeting: Med Student Day
Journal Club: 
Food (no nuts): 

Notes: Reagan, Ritu, Miles, Molly, Grace",False,False
Frankfort Lab Meeting,2026-03-30,10:00:00,2026-03-30,12:00:00,4th floor conference room,"Lab Meeting: Joy Kim
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-04-06,10:00:00,2026-04-06,12:00:00,4th floor conference room,"Lab Meeting: no lab meeting
Journal Club: 
Food (no nuts): 

Notes: Ben out of town",False,False
Frankfort Lab Meeting,2026-04-13,10:00:00,2026-04-13,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-04-20,10:00:00,2026-04-20,12:00:00,4th floor conference room,"Lab Meeting: Kevin Wu & Giselle Gonzalez
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-04-27,10:00:00,2026-04-27,12:00:00,4th floor conference room,"Lab Meeting: ARVO Poster review - abstracts
Journal Club: 
Food (no nuts): 

Notes: Change time to 9:30",False,False
Frankfort Lab Meeting,2026-05-04,10:00:00,2026-05-04,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: No Meeting - ARVO",False,False
Frankfort Lab Meeting,2026-05-11,10:00:00,2026-05-11,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: Ben out of town",False,False
Frankfort Lab Meeting,2026-05-18,10:00:00,2026-05-18,12:00:00,4th floor conference room,"Lab Meeting: ARVO recap
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-05-25,10:00:00,2026-05-25,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-06-01,10:00:00,2026-06-01,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-06-08,10:00:00,2026-06-08,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-06-15,10:00:00,2026-06-15,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-06-22,10:00:00,2026-06-22,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-06-29,10:00:00,2026-06-29,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-07-06,10:00:00,2026-07-06,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-07-13,10:00:00,2026-07-13,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-07-20,10:00:00,2026-07-20,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
Frankfort Lab Meeting,2026-07-27,10:00:00,2026-07-27,12:00:00,4th floor conference room,"Lab Meeting: 
Journal Club: 
Food (no nuts): 

Notes: ",False,False
